store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"POTOSI, MO",,703 East High Street,,Potosi,MO,63664,United States,(573)-436-2777,37.92997,-90.77841,Mon-Fri:7:30-5:30; ,,0
"PIEDMONT, MO",,920 South Main Street,,Piedmont,MO,63957,United States,(573)-223-2050,37.14733,-90.70020,Mon-Fri:7:30-5:30; ,,0
"DESLOGE, MO",,338 North State Street,,Desloge,MO,63601,United States,(573)-431-1991,37.87658,-90.51221,Mon-Fri:7:30-5:30; ,,0
"LAKE ST. LOUIS, MO",,8625 Highway N,,Lake St. Louis,MO,63367,United States,(636)-561-1500,38.76196,-90.79960,Mon-Fri:7:30-7:00; ,,0
"CHESTERFIELD, MO",,17520 Chesterfield Airport Rd.,,Chesterfield,MO,63005,United States,(636)-536-2007,38.66828,-90.61418,Mon-Fri:7:30-7:00; ,,0
"SCOTT CITY, MO",,2600 Main Street,,Scott City,MO,63780,United States,(573)-264-1500,37.21426,-89.54198,Mon-Fri:7:30-5:30; ,,0
"SPARTA, IL",,1310 North Market Street,,Sparta,IL,62286,United States,(618)-443-5300,38.13896,-89.70352,Mon-Fri:8:00-5:30; ,,0
O'FALLON-HWY. K,,2418 Highway K,,O'Fallon,MO,63366,United States,(636)-379-8100,38.77537,-90.69907,Mon-Fri:7:30-7:00; ,,0
"FULTON, MO",,100 W. Fourth St.,,Fulton,MO,65251,United States,(573)-642-4188,38.84669,-91.94895,Mon-Fri:7:30-5:30; ,,0
"JEFFERSON CITY, MO",,1401 Missouri Blvd.,,Jefferson City,MO,65109,United States,(573)-638-0640,38.578187,-92.193221,Mon-Fri:7:30-5:30; ,,0
"COLUMBIA, MO",,419 E. Broadway,,Columbia,MO,65201,United States,(573)-449-3896,38.952048,-92.33213,Mon-Fri:7:30-5:30; ,,0
"COLUMBIA, MO",,1005 N. Fairview,,Columbia,MO,65203,United States,(573)-446-1515,38.967,-92.379085,Mon-Fri:7:30-5:30; ,,0
"MEXICO, MO",,214 E. Promenade,,Mexico,MO,65265,United States,(573)-581-6900,39.171062,-91.881427,Mon-Fri:7:30-5:30; ,,0
"CAVE SPRINGS, MO (ST. PETERS)",,4080 Mexico Rd.,,St. Peters,MO,63376,United States,(636)-447-1772,38.793095,-90.571217,M-F 7:30-7:00; ,,0
"COLUMBIA, MO",,1415 Grindstone Plaza Dr.,,Columbia,MO,65201,United States,(573)-397-4787,38.914332,-92.318484,Mon-Fri:7:30-5:30; ,,0
"MOUNT VERNON, IL",,403 South 42nd St.,,Mount Vernon,IL,62864,United States,(618)-360-1006,38.310042,-88.942188,Mon-Fri:7:30-5:30; ,,0
"WARRENTON, MO",,907 North Steinhagen Rd.,,Warrenton,MO,63383,United States,(636)-377-4447,38.821095,-91.136196,Mon-Fri:7:30-7:00; ,,0
