store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Atlantic Superstore - Bedford Highway,0378,1650 Bedford Highway ,,Bedford,NS,B4A 4J7,United States,,44.734352,-63.6576,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 9:00 AM - 9:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Cole Drive,0377,11 Cole Drive ,,Windsor,NS,B0N 2T0,United States,,44.98815,-64.112963,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 10:00 AM - 8:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Joseph Howe Drive,0379,3601 Joseph Howe Drive ,,Halifax,NS,B3L 4H8,United States,,44.657553,-63.627632,Thursday: 12:00 AM - 12:00 AM; Friday: 12:00 AM - 12:00 AM; Saturday: 12:00 AM - 12:00 AM; Sunday: 12:00 AM - 12:00 AM; Monday: 12:00 AM - 12:00 AM; Tuesday: 12:00 AM - 12:00 AM; ,,0
Atlantic Superstore - Connell Street,0374,350 Connell Street ,,Woodstock,NB,E7M 5G8,United States,,46.1676,-67.596,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 12:00 PM - 5:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Chain Lake Drive,0358,210 Chain Lake Drive ,,Halifax,NS,B3S 1A2,United States,,44.653587,-63.674709,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 8:00 AM - 11:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Johnson Street,0359,2 Johnson Street ,,Chatham,NB,E1N 3B7,United States,,47.0286,-65.4732,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 12:00 PM - 5:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - St Peter Ave,0357,700 St Peter Ave ,,Bathurst,NB,E2A 2Y7,United States,,47.6321,-65.6666,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 9:00 AM - 6:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Starrs Road,0372,104 Starrs Road ,,Yarmouth,NS,B5A 2T5,United States,,43.84273,-66.1002,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 10:00 AM - 8:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Rue Principale,0316,3455 Rue Principale ,,Tracadie,NB,E1X 1C8,United States,,47.5192,-64.91259,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 9:00 AM - 6:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Reserve Street,0385,155 Reserve Street Box 41 ,,Glace Bay,NS,B1A 5V1,United States,,46.19058,-59.97724,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Market Street,0309,26 Market St. ,,Antigonish,NS,B2G 2K8,United States,,45.609308,-62.015904,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Kings Road,0373,1225 Kings Road ,,Sydney River,NS,B1S 1E1,United States,,46.108282,-60.22243,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Lower Cove Road,0389,44 Lower Cove Road ,,Sussex,NB,E4E 1T6,United States,,45.721398,-65.529001,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 12:00 PM - 5:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - King George Hwy,0332,408 King George Hwy ,,Miramichi,NB,E1V 2T3,United States,,46.9913,-65.5723,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 12:00 PM - 5:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Milton Road,0331,50 Milton Road ,,Liverpool,NS,B0T 1K0,United States,,44.046583,-64.724551,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 10:00 AM - 8:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Braemar Drive,0380,9 Braemar Drive ,,Dartmouth,NS,B2Y 3H6,United States,,44.680842,-63.549023,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 8:00 AM - 10:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Main Street,0388,509 Main Street ,,Montague,PE,C0A 1R0,United States,,46.172208,-62.652697,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 12:00 PM - 8:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Quinpool Road,0383,6139 Quinpool Road ,,Halifax,NS,B3L 4P6,United States,,44.646747,-63.594314,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 8:00 AM - 11:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - South Albion Street,0312,126 South Albion Street ,,Amherst,NS,B4H 2Z3,United States,,45.81548,-64.20229,Thursday: 7:00 AM - 10:00 PM; Friday: 7:00 AM - 10:00 PM; Saturday: 7:00 AM - 10:00 PM; Sunday: 8:00 AM - 8:00 PM; Monday: 7:00 AM - 10:00 PM; Tuesday: 7:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Commercial Street,0344,9064 Commercial Street ,,New Minas,NS,B4N 3E4,United States,,45.066873,-64.456527,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 10:00 AM - 8:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
