store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Carrefour 40-640 Toyota,53187,100 CHEMIN DES QUARANTE ARPENTS,,Charlemagne,QC,J5Z 0B5,Canada,{u'$': u'4505813540'},45.730465,-73.495032,Monday 7:00am - 8:00pm; Friday 7:00am - 5:00pm; ,,0
St-Raymond Toyota,53063,565 Côte Joyeuse,,St-Raymond,QC,G3L 4B2,Canada,{u'$': u'4183376745'},46.876637,-71.833617,Monday 8:00am - 5:00pm; Tuesday 8:00am - 8:00pm; Thursday 8:00am - 5:00pm; Saturday 8:00am - 12:00pm; ,,0
Toyota Gabriel Centre-Ville,53189,1920 rue Ste-Catherine Ouest,,Montréal,QC,H3H 1M4,Canada,{u'$': u'5149377777'},45.492460,-73.580620,Monday 9:00am - 9:00pm; ,,0
Toyota Richmond,53067,151 Route 116,,Richmond,QC,J0B 2H0,Canada,{u'$': u'8198265923'},45.674781,-72.116266,Monday 9:00am - 9:00pm; Friday 9:00am - 5:00pm; ,,0
Toyota Mont-Laurier,53065,330 boul Paquette,,Mont Laurier,QC,J9L 1J9,Canada,{u'$': u'8196233511'},46.548552,-75.501895,Monday 8:00am - 5:00pm; ,,0
Toyota Baie Des Chaleurs,53064,20 boul Perron,,Caplan,QC,G0C 1H0,Canada,{u'$': u'4183885544'},48.102355,-65.684440,Monday 8:00am - 5:00pm; ,,0
Toyota Central,95018,333 Memorial Drive,,Clarenville,NL,A5A 1R8,Canada,{u'$': u'7094666011'},48.155329,-53.965702,Monday 8:00am - 4:30pm; ,,0
Alpine Toyota,14096,1924 Cranbrook St N,,Cranbrook,BC,V1C 3T1,Canada,{u'$': u'2504894010'},49.530298,-115.745547,Monday 8:00am - 5:30pm; Saturday 9:00am - 2:00pm; ,,0
South Pointe Toyota,14095,11500 - 35 Street SE,,Calgary,AB,T2Z 3W4,Canada,{u'$': u'4035678888'},50.946871,-113.983940,Monday 7:00am - 5:30pm; Saturday 8:30am - 4:00pm; ,,0
Cochrane Toyota,14094,8 River Heights Drive,,Cochrane,AB,T4C 2C5,Canada,{u'$': u'4039329900'},51.163655,-114.469220,Monday 7:00am - 5:30pm; Saturday 8:00am - 5:00pm; ,,0
Vernon Toyota,01046,3401 48TH Avenue,,Vernon,BC,V1T 3R5,Canada,{u'$': u'2505450687'},50.282605,-119.276051,Monday 8:00am - 5:00pm; ,,0
Sherwood Park Toyota,14091,31 Automall Road,,Sherwood Park,AB,T8H 0C7,Canada,{u'$': u'7804102455'},53.546483,-113.329826,Monday 7:00am - 6:00pm; Saturday 8:00am - 4:00pm; ,,0
Hilltop Toyota,01128,2350 Trans Canada HWY N E,,Salmon Arm,BC,V1E 4P6,Canada,{u'$': u'2508329433'},50.706437,-119.258593,Monday 8:00am - 5:30pm; Saturday 8:00am - 5:00pm; ,,0
Mic Mac Motors (Yukon),01049,6111 - 6th Ave,,Whitehorse,YT,Y1A 1M8,Canada,{u'$': u'8676677202'},60.718863,-135.059728,Monday 8:00am - 5:30pm; Saturday 10:00am - 4:00pm; ,,0
Ste-Thérèse Toyota,53077,120 Boul Desjardins E,,Ste-Thérèse,QC,J7E 1C8,Canada,{u'$': u'4504353685'},45.634592,-73.823965,Monday 8:00am - 5:00pm; Friday 8:00am - 2:30pm; ,,0
Grand Toyota,95015,Trans Canada Hwy,,Grand Falls,NL,A2A 2M4,Canada,{u'$': u'7094894669'},48.943139,-55.661652,Monday 8:00am - 5:00pm; ,,0
Toyota Northwest Edmonton,14099,14240 - 137th Ave NW,,Edmonton,AB,T5L 5H7,Canada,{u'$': u'7804788300'},53.600371,-113.569947,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; Sunday 11:00am - 4:00pm; ,,0
Western Toyota,95017,33 Confederation Dr,,Corner Brook,NL,A2H 0A6,Canada,{u'$': u'7096397575'},48.956710,-57.918458,Monday 8:00am - 5:00pm; ,,0
Heffner Toyota,42133,3121 King St E,,Kitchener,ON,N2A 1B1,Canada,{u'$': u'5197489666'},43.426527,-80.428386,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Gander Toyota,95013,340 JAMES BLVD.,,Gander,NL,A1V 1Y9,Canada,{u'$': u'7092567177'},48.952440,-54.598089,Monday 9:00am - 6:00pm; ,,0
Whitby Toyota,42319,1025 Dundas St W,,Whitby,ON,L1P 1Z1,Canada,{u'$': u'9056684792'},43.873416,-78.967880,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
North Bay Toyota,42149,640 MCKEOWN AVENUE,,North Bay,ON,P1B 7M2,Canada,{u'$': u'7054749991'},46.332083,-79.478102,Monday 9:00am - 7:00pm; Wednesday 9:00am - 8:00pm; Thursday 9:00am - 7:00pm; Friday 9:00am - 6:00pm; ,,0
Sherbrooke Toyota,53119,2059 rue King Ouest,,Sherbrooke,QC,J1J 2E9,Canada,{u'$': u'8195636622'},45.398533,-71.923859,Monday 9:00am - 9:00pm; Friday 9:00am - 5:00pm; Saturday 10:00am - 4:00pm; ,,0
Goderich Toyota,42099,334 Huron Rd,,Goderich,ON,N7A 3A3,Canada,{u'$': u'5195249381'},43.734311,-81.695735,Monday 8:00am - 6:00pm; Saturday 8:00am - 12:00pm; ,,0
Aurora Toyota,42316,669 Wellington St. East,,Aurora,ON,L4G 0C9,Canada,{u'$': u'9057271948'},44.004042,-79.445359,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Northwest Toyota,42315,2 Maritime Ontario Blvd,,Brampton,ON,L6S 0C2,Canada,{u'$': u'9057913500'},43.746255,-79.694008,Monday 7:30am - 7:00pm; Friday 7:30am - 5:30pm; Saturday 8:00am - 4:00pm; ,,0
Houle Toyota,53110,12305 rue Sherbrooke Est,,Montréal,QC,H1B 1C8,Canada,{u'$': u'5146405010'},45.647369,-73.513444,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; Saturday 10:00am - 4:00pm; ,,0
Precision Toyota,34019,404 - 18th St N,,Brandon,MB,R7A 6Z2,Canada,{u'$': u'2047250508'},49.857539,-99.962241,Monday 9:00am - 8:00pm; Friday 9:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Toyota Gabriel St-Laurent,53179,3333 Côte-de-Liesse,,St-Laurent,QC,H4N 3C2,Canada,{u'$': u'5147487777'},45.513441,-73.660153,Monday 9:00am - 9:00pm; ,,0
Du Beau Toyota,53178,911 Boul Pie XI CP 606,,Thetford Mines,QC,G6G 7V3,Canada,{u'$': u'4183386968'},46.098704,-71.316383,Monday 9:00am - 9:00pm; Friday 9:00am - 5:00pm; ,,0
Accès Toyota,53175,1355 Ave Larivière.,,Rouyn-Noranda,QC,J9X 6M6,Canada,{u'$': u'8197625000'},48.223742,-78.989701,Monday 7:30am - 5:00pm; ,,0
Heninger Toyota,14001,3640 MacLeod Trail S.,,Calgary,AB,T2G 2P9,Canada,{u'$': u'4032438000'},51.021534,-114.060226,Monday 8:30am - 9:00pm; Friday 8:30am - 6:00pm; ,,0
Toyota Cap-à-l'Aigle,53177,65 Rue St-Raphael,,La Malbaie,QC,G5A 2N5,Canada,{u'$': u'4186653947'},47.657533,-70.117508,Monday 8:00am - 5:00pm; ,,0
St-Léonard Toyota,53176,7665 boul Lacordaire,,St-Léonard,QC,H1S 2A7,Canada,{u'$': u'5142521373'},45.581984,-73.586086,Monday 7:00am - 5:00pm; Friday 7:00am - 2:30pm; ,,0
St-Georges Toyota,53171,552 87e Rue,,St-Georges,QC,G5Y 7L9,Canada,{u'$': u'4182271330'},46.132925,-70.696288,Monday 8:00am - 5:00pm; ,,0
Funk's Toyota,34014,57 PTH 12N,,Steinbach,MB,R5G 1T3,Canada,{u'$': u'2043269808'},49.537327,-96.685379,Monday 8:00am - 8:00pm; Wednesday 8:00am - 6:00pm; Saturday 8:00am - 5:00pm; ,,0
St-Félicien Toyota,53053,766 boul Sacré-Coeur,,St-Félicien,QC,G8K 1S8,Canada,{u'$': u'4186791984'},48.642604,-72.418292,Monday 8:00am - 5:00pm; ,,0
Noral Motors,14081,10129 MacDonald Ave,,Fort McMurray,AB,T9H 1T2,Canada,{u'$': u'7807435444'},56.728467,-111.386891,Monday 8:00am - 6:00pm; Saturday 9:00am - 1:00pm; ,,0
Mayfield Toyota,14082,10220 - 170th St,,Edmonton,AB,T5S 1N9,Canada,{u'$': u'7804201111'},53.543510,-113.616711,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Peace Country Toyota,14084,801 118th Ave,,Dawson Creek,BC,V1G 3G9,Canada,{u'$': u'2507826614'},55.742531,-120.225074,Monday 8:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Lethbridge Toyota,14085,3524 2nd Avenue South,,Lethbridge,AB,T1J 4T9,Canada,{u'$': u'4033296888'},49.696306,-112.786836,Monday 8:30am - 7:00pm; Friday 8:30am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
OpenRoad Toyota - Richmond,01078,13251 Smallwood Pl,,Richmond,BC,V6V 1W8,Canada,{u'$': u'6042733766'},49.171547,-123.077448,Monday 7:30am - 6:00pm; Tuesday 7:00am - 6:00pm; Wednesday 7:30am - 6:00pm; ,,0
Country Hills Toyota,14088,20 Freeport Landing,,Calgary,AB,T3J 5H6,Canada,{u'$': u'4032901111'},51.153257,-114.010395,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Gateway Toyota,14089,2020-103A Street S.W,,Edmonton,AB,T6W 2P6,Canada,{u'$': u'7804393939'},53.416477,-113.498082,Monday 7:30am - 5:30pm; Saturday 8:00am - 4:00pm; ,,0
Alberni Toyota,01075,2555 Port Alberni Highway,,Port Alberni,BC,V9Y 8P2,Canada,{u'$': u'2507239448'},49.265169,-124.763025,Monday 8:30am - 5:00pm; ,,0
Taylor Lexus Toyota,24015,655 Broad St,,Regina,SK,S4R 1X5,Canada,{u'$': u'3065698777'},50.467915,-104.605346,Monday 9:00am - 9:00pm; Tuesday 9:00am - 6:00pm; Thursday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Exeter Toyota,42304,70707 London Road,,Exeter,ON,N0M 1S1,Canada,{u'$': u'5192352353'},43.337314,-81.478184,Monday 9:00am - 6:00pm; Friday 9:00am - 5:00pm; Saturday 9:00am - 3:00pm; ,,0
Simcoe Toyota,42305,150 Queensway E,,Simcoe,ON,N3Y 4K4,Canada,{u'$': u'5194261050'},42.848441,-80.288883,Monday 8:00am - 5:00pm; ,,0
Collingwood Toyota,42306,10230 Hwy #26 East,,Collingwood,ON,L9Y 0A5,Canada,{u'$': u'7054441414'},44.499941,-80.195150,Monday 7:30am - 5:00pm; Saturday 8:00am - 12:00pm; ,,0
Pickering Toyota,42301,557 Kingston Rd,,Pickering,ON,L1V 3N7,Canada,{u'$': u'9054209000'},43.814569,-79.120116,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Anchor Toyota,75003,70 Lawrence Blvd,,Stellarton,NS,B0K 1S0,Canada,{u'$': u'9027524171'},45.574135,-62.665912,Monday 8:00am - 5:00pm; ,,0
Silverwood Toyota,24020,5103 25th Street,,Lloydminster,AB,T9V 2W7,Canada,{u'$': u'7808088801'},53.258973,-110.008617,Monday 9:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Cornwall Toyota,42341,1875 Brookdale Avenue,,Cornwall,ON,K6J 5X7,Canada,{u'$': u'6139321106'},45.039499,-74.761132,Monday 8:00am - 5:00pm; ,,0
Midland Toyota,42308,806 King St,,Midland,ON,L4R 4K3,Canada,{u'$': u'7055276640'},44.735190,-79.873630,Monday 8:00am - 5:00pm; Saturday 8:00am - 12:00pm; ,,0
Welland Toyota,42309,894 Niagara St. N.,,Welland,ON,L3C 1M3,Canada,{u'$': u'9057882200'},43.019747,-79.248683,Monday 8:00am - 5:00pm; ,,0
Sunrise Toyota,42179,"8201 Highway 12 W,",,Orillia,ON,L3V 6H2,Canada,{u'$': u'7053254000'},44.613336,-79.466265,Monday 8:00am - 5:00pm; Saturday 8:00am - 12:00pm; ,,0
James Toyota,42178,1234 Riverside Dr,,Timmins,ON,P4R 1A4,Canada,{u'$': u'7052677188'},48.473102,-81.372737,Monday 8:30am - 5:00pm; ,,0
Walkerton Toyota,42186,"PO Box 1178, 131 Kincardine Rd",,Walkerton,ON,N0G 2V0,Canada,{u'$': u'5198813200'},44.114811,-81.150478,Monday 9:00am - 6:00pm; Thursday 9:00am - 8:00pm; Friday 9:00am - 6:00pm; Saturday 9:00am - 4:00pm; ,,0
Woodbridge Toyota,42069,7685 Martin Grove Rd,,Woodbridge,ON,L4L 1B5,Canada,{u'$': u'9058513993'},43.774470,-79.608146,Monday 8:00am - 5:00pm; Tuesday 8:00am - 8:00pm; Wednesday 8:00am - 5:00pm; Thursday 8:00am - 8:00pm; Friday 8:00am - 5:00pm; Saturday 8:30am - 4:00pm; ,,0
Orleans Toyota,42356,2035 Mer Bleue Road,,Orleans,ON,K4A 3T9,Canada,{u'$': u'6138303401'},45.453650,-75.501875,Monday 6:30am - 9:00pm; Friday 6:30am - 5:00pm; Saturday 9:00am - 4:00pm; ,,0
Brimell Toyota,42061,5060 Sheppard Ave E,,Scarborough,ON,M1S 4N3,Canada,{u'$': u'4162922241'},43.794145,-79.241242,Monday 7:30am - 5:30pm; Tuesday 7:30am - 7:30pm; Wednesday 7:30am - 5:30pm; Thursday 7:30am - 7:30pm; Friday 7:30am - 5:30pm; Saturday 8:00am - 5:00pm; ,,0
Glacier Toyota,01132,3187 Tatlow Rd,,Smithers,BC,V0J 2N0,Canada,{u'$': u'2508479302'},54.770958,-127.140912,Tuesday 8:00am - 5:00pm; ,,0
Meadowvale Toyota,42359,2950 Argentia Road,,Mississauga,ON,L5N 8C5,Canada,{u'$': u'9058164200'},43.597868,-79.782058,Monday 7:00am - 7:00pm; Friday 7:00am - 6:00pm; Saturday 8:00am - 4:00pm; ,,0
