store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
reLiSH Fredericton Downtown,,348 King Street,,Fredericton, New Brunswick,E3B 1E3,Canada,(506) 454-9331,,,,,0
reLiSH Halifax - Quinpool,,6024 Quinpool Road,,Halifax, Nova Scotia,B3L 1A2,Canada,902-474- 4152,,,,,0
reLiSH Fredericton Uptown,,10 Trinity Ave,,Fredericton, New Brunswick,E3B 3C1,Canada,(506) 454-9322,,,,,0
reLiSH Vancouver - Commercial Drive,,2290 Commercial Drive,,Vancouver, BC,V5N 4B5,Canada,(604) 428-6618,,,,,0
reLiSH Halifax - Bedford,,507B Larry Uteck Boulevard,,Halifax, Nova Scotia,B4A 0E1,Canada,902-832-2551,,,,,0
reLiSH Vancouver - Davie Street,,1708 Davie Street,,Vancouver, BC,V6G 1W2,Canada,604-620-0700,,,,,0
