store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Redburn Tire Company,256164,2339 N. Country Club Dr.,,Mesa,AZ,85201-1209,United States,6022880630,33.456791,-111.839599,Mon:08:00 AM - 06:00 PM; Tue:08:00 AM - 06:00 PM; Wed:08:00 AM - 06:00 PM; Thu:08:00 AM - 06:00 PM; Fri:08:00 AM - 06:00 PM; Sat:08:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Porter Tire,279237,120 Marble Hall Rd,,Rogersville,TN,37857,United States,4232725436,36.379633,-83.072005,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,598976,251 W MAIN ST,,NORWICH,CT,06360-5442,United States,8608899897,41.52334,-72.087389,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,1503,45 TRUMAN ST,,NEW LONDON,CT,06320-5062,United States,8604434361,41.350551,-72.103712,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Accessory Tire and Wheel,775310,375 Route 12,,Groton,CT,06340-2947,United States,2014483192,41.372244,-72.072897,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Town Fair Tire,441619,"351 Route 1,New London Shopping Ctr.",,New London,CT,6320,United States,8604471620,41.350867,-72.105528,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Town Fair Tire,441643,1736 Boston Rd.,,Springfield,MA,01105-1175,United States,2034678600,41.358465,-72.115938,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
FS Farmtown,755530,303 N. Galena Avenue,,Freeport,IL,61032-3903,United States,8152327202,42.2999,-89.623524,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Neal Tire & Auto Service,321550,1507 N. Hwy. 121,,Mt. Zion,IL,62549-1229,United States,2178643927,39.788173,-88.870756,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
LES SCHWAB TIRE CENTER #S17,365459,2355 W SIMS WAY,,PORT TOWNSEND,WA,98368-2249,United States,5034474136,48.1027889,-122.8032359,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,16292,814 S GLENSTONE AVE,,SPRINGFIELD,MO,65802-3302,United States,4178665056,37.19999,-93.261934,Mon:08:00 AM - 07:00 PM; Tue:08:00 AM - 07:00 PM; Wed:08:00 AM - 07:00 PM; Thu:08:00 AM - 07:00 PM; Fri:08:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:08:00 AM - 04:00 PM; ,,0
Firestone Complete Auto Care,17159,2823 S GLENSTONE AVE,,SPRINGFIELD,MO,65804-3715,United States,4178823751,37.163008,-93.262712,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Mitchem Tire & Wheel,287016,307 E. Kearney,,Springfield,MO,65802-3017,United States,4178697394,37.240705,-93.290378,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 03:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Plaza Tire Service,784814,2867 E Sunshine St.,,Springfield,MO,65804-0000,United States,5733345036,37.1807521129273,-93.2381927849167,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Mavis Tire Supply #159,762899,767 E. Main St.,,Cobleskill,NY,12043-5004,United States,5188231293,42.68012,-74.47519,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
McCarthy Tire Service,294723,942 E. Main St.,,Cobelskill,NY,12043-5721,United States,5182343586,42.676193,-74.492727,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
