store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Hendrick Chrysler Jeep,,543 N McPherson Church Rd,,Fayetteville,NC,28303,United States,,,,,,0
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,,2473 Pleasant Hill Rd,,Duluth,GA,30096,United States,,,,,,0
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,,6000 Monroe Rd,,CHARLOTTE,NC,28212,United States,,,,,,0
Rick Hendrick Dodge Chrysler Jeep RAM,,1468 Savannah Highway,,Charleston,SC,29407,United States,,,,,,0
Rick Hendrick Jeep Chrysler Dodge RAM,,8333 Rivers Avenue,,North Charleston,SC,29406,United States,,,,,,0
Dale Earnhardt Jr. Chevrolet - Collision Center,,3127 W Tennessee St,,Tallahassee,FL,32304 2728,United States,,,,,,0
Hendrick Chevrolet Shawnee Mission - Collision Center,,8300 Shawnee Mission Pkwy,,Merriam,KS,66202 2947,United States,,,,,,0
Hendrick Collision Center,,543 N McPherson Church Rd,,Fayetteville,NC,28303,United States,,,,,,0
Hendrick Collision Center Cary,,100 Auto Mall Dr,,Cary,NC,27511,United States,,,,,,0
Hendrick Collision Center Concord,,7650 Bruton Smith Blvd,,Concord,NC,28027 0148,United States,,,,,,0
Hendrick Collision Center Fayetteville,,5510 Cliffdale Rd,,Fayetteville,NC,28314,United States,,,,,,0
Hendrick Collision Center Hwy 55,,5403 NC Hwy 55,,Durham,NC,27713,United States,,,,,,0
Hendrick Collision Center South,,8901 South Blvd,,Charlotte,NC,28273,United States,,,,,,0
Hendrick Collision Center at Gwinnett Place Honda,,3325 Satellite Blvd,,Duluth,GA,30096,United States,,,,,,0
Hendrick Collision Center of Kansas City,,9400 Troost Ave,,Kansas City,MO,64131,United States,,,,,,0
Hendrick Collision Center of Rock Hill,,735 Automall Pkwy,,Rock Hill,SC,29732,United States,,,,,,0
Hendrick Collision North,,9300 NW Prairie View Rd,,Kansas City,MO,64153,United States,,,,,,0
Hendrick Luxury Collision Center,,5141 E Independence Blvd,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Luxury Collision Charleston,,1535B Savannah Hwy,,Charleston,SC,29407,United States,,,,,,0
Jeff Gordon Chevrolet - Collision Center,,228 S College Rd,,Wilmington,NC,28403 1610,United States,,,,,,0
