store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
OKLAHOMA Tulsa Fontana Shopping Center,,7807 E. 51st Street ,,Tulsa ,Oklahoma,,United States,(918) 663-4137,,,8 am - 9 pm ; Mon- Sat 10 am - 8 pm ; Sunday,,0
Tulsa Newport Square,,3321 East 31st Street ,,Tulsa ,Oklahoma,,United States,(918) 742-6630,,,8 am - 9 pm ; Mon- Sat 10 am - 8 pm ; Sunday,,0
Bixby Town & Country Shopping Center,,12003 S. Memorial Drive ,,Bixby ,Oklahoma,,United States,(918) 366-8400,,,8 am - 9 pm ; Mon- Sat 10 am - 8 pm ; Sunday,,0
Oklahoma City Mayfair Shopping Center,,N.W. 63rd & N. May ,,Oklahoma City Oklahoma ,,,United States,(405) 843-3033,,,8 am - 9 pm ; Mon- Sat 10 am - 8 pm ; Sunday,,0
Oklahoma City Quail Springs Marketplace,,2370 W. Memorial Rd ,,Oklahoma City Oklahoma ,,,United States,(405) 418-4305,,,8 am - 9 pm ; Mon- Sat 10 am - 8 pm ; Sunday,,0
