store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Maguire Volkswagen,408158,370 Elmira Rd,,Ithaca,NY,14850,USA,6072571515,42.4228,-76.5179,Fri:08:00-18:00; Mon:08:00-20:00; Sat:08:00-18:00; Thu:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; Sun:closed; ,,0
Schmitt's Volkswagen,408144,5255 Genesee St,,Bowmansville,NY,14026,USA,7166833343,42.9396,-78.6875,Fri:09:00-18:00; Mon:09:00-21:00; Sat:09:00-16:00; Thu:09:00-21:00; Tue:09:00-21:00; Wed:09:00-18:00; Sun:closed; ,,0
Northtown Volkswagen,408152,1135 Millersport Hwy,,Amherst,NY,14226,USA,8666507406,42.9819,-78.7960,Fri:07:30-21:00; Mon:07:30-21:00; Sat:07:30-21:00; Thu:07:30-21:00; Tue:07:30-21:00; Wed:07:30-21:00; Sun:closed; ,,0
Hall Volkswagen,402645,19809 W Bluemound Rd,,Brookfield,WI,53045,USA,8666332901,43.0356,-88.1595,Fri:09:00-18:00; Mon:09:00-21:00; Sat:09:00-17:00; Thu:09:00-21:00; Tue:09:00-21:00; Wed:09:00-21:00; Sun:closed; ,,0
Volkswagen of Milwaukee North,402617,1400 W Silver Spring Dr,,Milwaukee,WI,53209,USA,8446156330,43.1196,-87.9282,Fri:07:30-17:30; Mon:07:30-17:30; Thu:07:30-17:30; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; Sat:closed; ,,0
McGrath Volkswagen of Dubuque,402308,2075 Holliday Dr,,Dubuque,IA,52002,USA,8775068833,42.5112,-90.7434,Fri:07:00-17:30; Sat:08:00-12:00; Thu:07:00-17:30; Tue:07:00-17:30; Wed:07:00-17:30; Sun:closed; Mon:closed; ,,0
Executive Volkswagen of North Haven,408084,444 State St,,North Haven,CT,06473,USA,8442821115,41.3628,-72.8881,Fri:07:30-17:30; Mon:07:30-17:30; Sat:07:00-16:00; Thu:07:30-19:00; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; ,,0
Basil Volkswagen of Lockport,408303,6179 S Transit Rd,,Lockport,NY,14094,USA,7166254444,43.1225,-78.6958,Fri:07:30-18:00; Mon:07:30-18:00; Sat:07:30-17:00; Sun:09:00-16:00; Thu:07:30-20:00; Tue:07:30-20:00; Wed:07:30-18:00; ,,0
Ernie Von Schledorn Volkswagen,402615,N88 W14167 Main Street,,Menomonee Falls,WI,53051,USA,2622579652,43.1762,-88.0844,Fri:07:00-18:00; Mon:07:00-18:00; Sat:08:00-12:00; Thu:07:00-18:00; Tue:07:00-18:00; Wed:07:00-18:00; Sun:closed; ,,0
"Valenti Motors, Inc.",408087,600 Straits Tpke,,Watertown,CT,06795,USA,8602153158,41.5749,-73.1005,Fri:09:00-19:00; Mon:09:00-20:00; Sat:09:00-18:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
Thelen  Volkswagen,403083,1112 North Euclid Avenue,,Bay City,MI,48706,USA,9892468982,43.6165,-83.9140,Fri:08:30-18:00; Mon:08:30-20:00; Sat:10:00-16:00; Thu:08:30-18:00; Tue:08:30-18:00; Wed:08:30-18:00; Sun:closed; ,,0
Lithia Volkswagen of Des Moines,402320,5200 Merle Hay Rd,,Johnston,IA,50131,USA,8663083521,41.6552,-93.6986,Fri:08:00-19:00; Mon:08:00-20:00; Sat:08:00-18:00; Thu:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; Sun:closed; ,,0
Volkswagen of Kingston,408103,1249 Ulster Ave,,Kingston,NY,12401,USA,8772181607,41.9673,-73.9893,Fri:07:30-17:30; Mon:07:30-17:30; Sat:08:00-13:00; Thu:07:30-17:30; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; ,,0
Street Volkswagen of Amarillo,425170,8707 Pilgrim Drive,,Amarillo,TX,79119,USA,8063508999,35.1576,-101.9390,Fri:07:00-19:00; Mon:07:00-19:00; Sat:07:00-18:00; Thu:07:00-19:00; Tue:07:00-19:00; Wed:07:00-19:00; Sun:closed; ,,0
Volkswagen of Old Saybrook,408080,319 Middlesex Tpke,,Old Saybrook,CT,06475,USA,8603883400,41.3101,-72.3825,Fri:09:00-18:00; Mon:09:00-17:00; Sat:09:00-17:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
"Langan Volkswagen Meriden, LLC",408055,375 S Broad St,,Meriden,CT,06450,USA,8555324935,41.5124,-72.8060,Fri:07:00-17:30; Mon:07:00-17:30; Sat:08:00-13:30; Thu:07:00-17:30; Tue:07:00-17:30; Wed:07:00-17:30; Sun:closed; ,,0
Dorschel Volkswagen,408149,3817 W Henrietta Rd,,Rochester,NY,14623,USA,8007686026,43.0778,-77.6430,Fri:09:00-18:00; Mon:09:00-20:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; Sat:closed; ,,0
Zimbrick Volkswagen of Madison,402607,1430 N Stoughton Rd,,Madison,WI,53714,USA,6082707799,43.1150,-89.3237,Fri:08:30-18:00; Mon:08:30-20:00; Sat:08:30-16:00; Thu:08:30-20:00; Tue:08:30-18:00; Wed:08:30-18:00; Sun:closed; ,,0
Volkswagen Oneonta,408302,7517 State Highway 23,,Oneonta,NY,13820,USA,8777910965,42.4387,-74.9912,Fri:08:00-18:00; Mon:08:00-18:00; Thu:08:00-18:00; Tue:08:00-18:00; Wed:08:00-18:00; Sun:closed; Sat:closed; ,,0
Ide Volkswagen of East Rochester,408104,333 N Washington St,,East Rochester,NY,14445,USA,5855862225,43.1208,-77.4859,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-18:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
Zimbrick Volkswagen,402629,7505 Century Ave,,Middleton,WI,53562,USA,8559982817,43.1109,-89.5103,Fri:08:30-18:00; Mon:08:30-20:00; Sat:08:30-16:00; Thu:08:30-20:00; Tue:08:30-18:00; Wed:08:30-18:00; Sun:closed; ,,0
"Crowley Volkswagen, Inc.",408088,245 New Britain Ave,,Plainville,CT,06062,USA,8662975402,41.6769,-72.8412,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-18:00; Sun:11:00-16:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
Mystic Volkswagen Satellite,408098,72 Jerry Brown Road,,Mystic,CT,06355,USA,8602452718,41.376216,-71.952781,Mon:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; Thu:08:00-20:00; Fri:08:00-17:00; Sat:08:00-17:00; Sun:closed; ,,0
Mitchell Volkswagen,408092,51 Albany Tpke,,Canton,CT,06019,USA,8606937668,41.8232,-72.8762,Fri:08:30-18:00; Mon:08:30-19:30; Sat:08:30-17:00; Thu:08:30-19:30; Tue:08:30-19:30; Wed:08:30-19:30; Sun:closed; ,,0
"Gene Langan Volkswagen, Inc.",408076,816 New London Turnpike,,Glastonbury,CT,06033,USA,8606330261,41.7044,-72.5930,Fri:08:30-18:00; Mon:08:30-19:30; Sat:08:30-17:00; Thu:08:30-19:30; Tue:08:30-19:30; Wed:08:30-19:30; Sun:closed; ,,0
Volkswagen of Hartford,408060,133-149 Leibert Rd,,Hartford,CT,06120,USA,8602152496,41.7864,-72.6564,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
Witham Volkswagen of Cedar Falls,402338,2728 S Main St,,Cedar Falls,IA,50613,USA,3192778123,42.5121,-92.4449,Fri:09:00-17:00; Mon:09:00-17:00; Sat:09:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; Sun:closed; ,,0
Russ Darrow VW of Sheboygan,402621,5515 Racetrack Rd,,Sheboygan,WI,53081,USA,9204578844,43.6932,-87.7578,Fri:07:30-17:00; Mon:07:30-17:00; Sat:08:00-12:00; Thu:07:30-17:00; Tue:07:30-17:00; Wed:07:30-17:00; Sun:closed; ,,0
Romano Volkswagen of Fayetteville,408139,5431 N Burdick St,,Fayetteville,NY,13066,USA,3156374491,43.0378,-76.0186,Fri:08:30-18:00; Mon:08:30-20:00; Sat:09:00-17:00; Thu:08:30-20:00; Tue:08:30-20:00; Wed:08:30-20:00; Sun:closed; ,,0
"Langan Volkswagen Of Vernon, LLC",408099,167 Hartford Turnpike,,Vernon,CT,06066,USA,8555307323,41.8210,-72.5018,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
Burdick Volkswagen,408148,5885 E Circle Dr,,Cicero,NY,13039,USA,3156992661,43.1502,-76.1151,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-18:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
Speedcraft Volkswagen,401207,104 Old Tower Hill Rd,,Wakefield,RI,02879,USA,8552164638,41.4425,-71.4846,Fri:08:30-18:00; Mon:08:30-20:00; Sat:08:30-17:00; Sun:12:00-17:00; Thu:08:30-20:00; Tue:08:30-20:00; Wed:08:30-20:00; ,,0
Central Volkswagen of Plainfield,408082,98 Lathrop Rd,,Plainfield,CT,06374,USA,8605644014,41.6630,-71.9119,Fri:07:30-17:00; Mon:07:30-17:00; Sat:07:30-13:00; Thu:07:30-17:00; Tue:07:30-17:00; Wed:07:30-17:00; Sun:closed; ,,0
Lia Volkswagen,401081,140 Elm St,,Enfield,CT,06082,USA,8602654003,41.9980,-72.5755,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-18:00; Sun:12:00-16:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
Schworer Volkswagen,424223,3301 Schworer Dr,,Lincoln,NE,68504,USA,8448810479,40.8592,-96.6700,Fri:08:00-18:00; Mon:08:00-20:00; Sat:08:00-18:00; Thu:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; Sun:closed; ,,0
Baxter Volkswagen of La Vista,424224,7108 S 124th Cir,,La Vista,NE,68128,USA,8559849129,41.1884,-96.1088,Fri:06:30-18:00; Mon:06:30-18:00; Sat:07:00-16:30; Thu:06:30-18:00; Tue:06:30-18:00; Wed:06:30-18:00; Sun:closed; ,,0
"Fathers & Sons, Inc.",401078,434 Memorial Avenue,,West Springfield,MA,01089,USA,4137851631,42.0960,-72.6041,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
