store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Joe's valu-mart,0445,311 Gorham Road ,,Ridgeway,ON,L0S 1N0,Canada,Contact,42.883533,-79.06004,Friday: 8:00 AM - 8:00 PMSaturday: 8:00 AM - 7:00 PMSunday: 8:00 AM - 7:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Eastons valu-mart,0859,South Water St. & Hwy #35 ,,Minden,ON,K0M 2K0,Canada,Contact,44.93141,-78.71333,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 8:00 AM - 7:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Waterloo Square valu-mart,0841,75 King Street ,,Waterloo,ON,N2J 1P2,Canada,Contact,43.463025,-80.52292,Friday: 8:00 AM - 10:00 PMSaturday: 8:00 AM - 10:00 PMSunday: 8:00 AM - 10:00 PMMonday: 8:00 AM - 10:00 PMTuesday: 8:00 AM - 10:00 PMWednesday: 8:00 AM - 10:00 PMThursday: 8:00 AM - 10:00 PM,,0
"31-1 Highway 11 West PO Box 1480, Cochrane",2678,31-1 Highway 11 West PO Box 1480 ,,Cochrane,ON,P0L 1C0,Canada,Contact,49.070221,-81.032692,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 5:30 PMSunday: 9:00 AM - 5:00 PMMonday: 8:00 AM - 7:00 PMTuesday: 8:00 AM - 7:00 PMWednesday: 8:00 AM - 7:00 PMThursday: 8:00 AM - 9:00 PM,,0
"215 Main Street, Thessalon",2658,215 Main Street ,,Thessalon,ON,P0R 1L0,Canada,Contact,46.257393,-83.556946,Friday: 9:00 AM - 8:00 PMSaturday: 9:00 AM - 6:00 PMSunday: 12:00 PM - 4:00 PMMonday: 9:00 AM - 6:00 PMTuesday: 9:00 AM - 6:00 PMWednesday: 9:00 AM - 6:00 PMThursday: 9:00 AM - 6:00 PM,,0
Kaufman's valu-mart,2676,1200 Yonge Street P.O. Box 567,,Walkerton,ON,N0G 2V0,Canada,Contact,44.127293,-81.147021,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 7:00 PMSunday: 9:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Tweed valu-mart,0802,56 Victoria Street PO Box 310 ,,Tweed,ON,K0K 3J0,Canada,Contact,44.475784,-77.31025,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 9:00 AM - 6:00 PMMonday: 8:00 AM - 7:00 PMTuesday: 8:00 AM - 7:00 PMWednesday: 8:00 AM - 7:00 PMThursday: 8:00 AM - 7:00 PM,,0
Tetreaults valu-mart,0456,345 Notre Dame St. ,,Belle River,ON,N0R 1A0,Canada,Contact,42.29327,-82.70052,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 9:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Marc's valu-mart,0879,134 Main Street ,,Erin,ON,N0B 1T0,Canada,Contact,43.772537,-80.069077,Friday: 8:30 AM - 9:00 PMSaturday: 8:30 AM - 9:00 PMSunday: 8:30 AM - 6:00 PMMonday: 8:30 AM - 9:00 PMTuesday: 8:30 AM - 9:00 PMWednesday: 8:30 AM - 9:00 PMThursday: 8:30 AM - 9:00 PM,,0
Bennetts valu-mart,0471,235 Gore Road ,,Kingston,ON,K7L 2L6,Canada,Contact,44.258833,-76.455972,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 9:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
