store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Georgetown, ON",2811,171 Guelph Street ,,Georgetown,ON,L7G 4A1,Canada,,43.6513,-79.90661,,,0
"Prince Albert, SK",1581,591-15th Street East ,,Prince Albert,SK,S6V 1G3,Canada,,53.19863,-105.739,,,0
"Wasaga Beach, ON",0512,25-45th Street  South ,,Wasaga Beach,ON,L9Z 1A7,Canada,,44.47359,-80.07552,,,0
"Grande Prairie, AB",1544,12225-99th Street ,,Grande Prairie,AB,T8V 6X9,Canada,,55.19147,-118.7934,,,0
Calgary Westwinds,1542,Unit 100 3633 Westwinds Drive N.E. ,,Calgary,AB,T3J 5K3,Canada,,51.11067,-113.9715,,,0
"Camrose, AB",1547,7005-48th Avenue ,,Camrose,AB,T4V 4W1,Canada,,53.01616,-112.8642,,,0
"Moose Jaw, SK",1583,30 Thatcher Drive East ,,Moose Jaw,SK,S6H 7K8,Canada,,50.41394,-105.5319,,,0
"20th Avenue, Calgary, AB",1576,3575-20th Avenue N.E. ,,Calgary,AB,T1Y 6R3,Canada,,51.06952,-113.9838,,,0
"St. Catharines, ON",0577,411 Louth Street ,,St. Catharines,ON,L2S 4A2,Canada,,43.15307,-79.26594,,,0
"Seton, Calgary, AB",1586,19655 Seton Way SE ,,Calgary,AB,T3M 2N9,Canada,,50.879569,-113.957712,,,0
"McPhillips, Winnipeg, MB",1505,2132 Mcphillips St. ,,Winnipeg,MB,R2V 3C8,Canada,,49.94928,-97.1548,,,0
Chilliwack. BC,1523,45779 Luckakuck Way ,,Chilliwack,BC,V2R 4E8,Canada,,49.14276,-121.959,,,0
"St Thomas, ON",0551,1063 Talbot Street ,,St. Thomas,ON,N5P 1G4,Canada,,42.78296,-81.1709,,,0
"Edmonton Northwest, AB",1572,12350 - 137 Ave. NW ,,Edmonton,AB,T5L 4X6,Canada,,53.60066,-113.5368,,,0
"Vernon, BC",1531,5001 Anderson Way ,,Vernon,BC,V1T 9V1,Canada,,50.28394,-119.2728,,,0
"Coquitlam, BC",1519,1301 Lougheed Highway ,,Coquitlam,BC,V3K 6P9,Canada,,49.23497,-122.8566,,,0
"Grimsby, ON",2806,361 South Service Road ,,Grimsby,ON,L3M 4E8,Canada,,43.20406,-79.59033,,,0
"3000 Lougheed Hwy., Coquitlam",1526,3000 Lougheed Hwy. ,,Coquitlam,BC,V3B 1C5,Canada,,49.27396,-122.7943,,,0
"Signal Hill, Calgary, AB",1577,5858 Signal Hill Cntr S.W. ,,Calgary,AB,T3H 3P8,Canada,,51.019093,-114.173933,,,0
"Airdrie, AB",1540,300 Veterans Blvd NE ,,Airdrie,AB,T4B 3P2,Canada,,51.30079,-114.0097,,,0
"Kamloops, BC",1522,910 Columbia Street West ,,Kamloops,BC,V2C 1L2,Canada,,50.66869,-120.3565,,,0
"2155 Ferry Avenue, Prince George",1562,2155 Ferry Avenue ,,Prince George,BC,V2N 5E8,Canada,,53.8877,-122.7692,,,0
"Coventry Hills, Calgary, AB",1543,100 Country Village Road NE ,,Calgary,AB,T3K 5Z2,Canada,,51.16139,-114.0683,,,0
"Sarnia, ON",2826,600 Murphy Road ,,Sarnia,ON,N7S 2X1,Canada,,42.97886,-82.36584,,,0
